Series Name,Series Code,1990,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Population, total",SP.POP.TOTL,18741688,23740145,25794344,26063619,26325183,26592666,26875910,27179237,27500515,27834981,28174724,..
Population growth (annual %),SP.POP.GROW,2.464556084,1.806829353,1.120831716,1.03851908,0.998557567,1.010945392,1.059488285,1.122298988,1.175139555,1.208880727,1.213172492,..
Surface area (sq. km),AG.SRF.TOTL.K2,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,..
Population density (people per sq. km of land area),EN.POP.DNST,131.0607552,165.6096617,179.9396163,181.8180607,183.6427136,185.5086571,187.4845483,189.6005371,191.841751,194.1749634,196.5449878,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,25.2,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,14.95,..,..,..,..,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,3921071853,5409152952,8846407470,9830014593,11581142548,12953637106,14614765670,16530084571,19023715921,20138710045,20634983625,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,210,230,340,380,440,490,540,610,690,720,730,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,14567868776,29079468293,41278674367,43937534493,47512232638,50149505719,52983710719,55810345454,59718642760,62880562108,68099105698,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,780,1220,1600,1690,1800,1890,1970,2050,2170,2260,2420,..
Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,8.34,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.03643902,62.04270732,65.23953659,65.72009756,66.19019512,66.65229268,67.10492683,67.54956098,67.98270732,68.40385366,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.165,4.068,3.194,3.046,2.899,2.755,2.619,2.496,2.389,2.3,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,134.9442,117.7428,97.2648,93.832,90.0664,86.3008,82.5352,78.7696,75.004,73.7654,72.5268,..
Contraceptive prevalence (% of women ages 15-49),SP.DYN.CONU.ZS,..,37.3,48,..,..,..,..,49.7,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,11.9,18.7,..,..,..,..,36,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,140.7,80.6,56.6,53.6,50.7,48,45.4,43.1,40.9,39,37.4,35.8
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,38.8,..,..,..,..,29.1,..,..,..,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,57,71,85,81,79,90,86,88,86,88,88,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,69.50533295,81.0951767,..,81.93232727,..,..,..,101.0266418,99.81462097,101.5919189,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,116.92815,126.3596802,131.904953,131.1879883,127.5986786,137.6601257,141.0537262,142.9233246,139.3111572,135.2521362,132.7481537,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,34.61367,36.97789001,47.65679169,47.36034012,53.83766937,54.38557816,60.43872833,62.72808838,65.8197937,66.59033203,66.9919281,..
