Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Agricultural machinery, tractors",,180,190,200,215,225,320,420,510,610,794,800,900,1070,1240,1925,1580,1740,1910,2080,2514,2420,2591,2690,2770,2783,3200,3600,4018,4500,5000,5542,7800,10100,12400,14700,17000,19350,21700,24000,26300,,,,,,,,,,,,,,,
Fertilizer consumption (% of fertilizer production),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer consumption (kilograms per hectare of arable land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68094218,5.0587473,8.025217391,3.568859649,5.642035398,1.608928571,1.364864865,18.20272727,25.08669725,34.88371018,44.06987724,57.72847682,,
Agricultural land (sq. km),,35530,35530,35630,35530,35530,35530,35670,35670,35670,37020,37020,38220,39530,39940,40090,40250,40400,40550,40700,40850,41030,41066,41102,41138,41164,41320,41346,41382,41408,41444,41470,41582,41694,41806,41918,42030,42142,42254,42366,42491,42610,42410,42270,42180,42020,41850,41660,41520,41400,41260,41266,41210,41210,,
Agricultural land (% of land area),,24.84615385,24.84615385,24.91608392,24.84615385,24.84615385,24.84615385,24.94405594,24.94405594,24.94405594,25.88811189,25.88811189,26.72727273,27.64335664,27.93006993,28.03496503,28.14685315,28.25174825,28.35664336,28.46153846,28.56643357,28.69230769,28.71748252,28.74265734,28.76783217,28.78601399,28.8951049,28.91328671,28.93846154,28.95664336,28.98181818,29,29.07832168,29.15664336,29.23496503,29.31328671,29.39160839,29.46993007,29.54825175,29.62657343,29.64143704,29.72445065,29.58493198,29.48726892,29.42448552,29.3128706,29.19427973,29.06173701,28.96407394,28.88036275,28.78269969,28.78688525,28.74782002,28.74782002,,
Arable land (hectares),,1806000,1806000,1816000,1806000,1806000,1806000,1819000,1819000,1819000,1953000,1953000,2055000,2165000,2180000,2195000,2210000,2225000,2240000,2255000,2270000,2288000,2291600,2295200,2298800,2302400,2306000,2309600,2313200,2316800,2320400,2324000,2327300,2330600,2333900,2337200,2340500,2343800,2347100,2350400,2354000,2357000,2335000,2315000,2300000,2280000,2260000,2240000,2220000,2200000,2180000,2162700,2118000,2114000,,
Arable land (hectares per person),,0.176796177,0.174037716,0.172221081,0.168470338,0.165612013,0.162692853,0.160871817,0.15784269,0.154796469,0.162926857,0.159657253,0.164560809,0.169763604,0.167328715,0.164870405,0.162396472,0.159913467,0.15742563,0.154936433,0.152450491,0.150157817,0.146934999,0.143775778,0.140710261,0.137750021,0.134917244,0.132187601,0.129480503,0.126701942,0.123809552,0.120806836,0.11774515,0.114736174,0.111887094,0.109261389,0.106859782,0.104656135,0.102643623,0.100810408,0.099156934,0.097634968,0.095240158,0.093088154,0.091276615,0.089387763,0.087616107,0.085943552,0.084329898,0.082729577,0.081113533,0.07957177,0.07701674,0.0759476,,
Arable land (% of land area),,12.62937063,12.62937063,12.6993007,12.62937063,12.62937063,12.62937063,12.72027972,12.72027972,12.72027972,13.65734266,13.65734266,14.37062937,15.13986014,15.24475524,15.34965035,15.45454545,15.55944056,15.66433566,15.76923077,15.87412587,16,16.02517483,16.05034965,16.07552448,16.1006993,16.12587413,16.15104895,16.17622378,16.2013986,16.22657343,16.25174825,16.27482517,16.2979021,16.32097902,16.34405594,16.36713287,16.39020979,16.41328671,16.43636364,16.42134636,16.44227415,16.28880363,16.14928497,16.04464597,15.90512731,15.76560865,15.62608999,15.48657133,15.34705267,15.20753401,15.08685037,14.77502616,14.74712243,,
Land under cereal production (hectares),,1715000,1724500,1725500,1742000,1786000,1794700,1821090,1909470,1951485,1994890,2009823,1973188,2092083,2124453,2152188,2183815,2203319,2232940,2191730,2247630,2312590,2331630,2470000,2586530,2636050,2622990,2825960,2980760,3006250,3045230,2986490,2840020,3105510,3031239,3213580,3257790,3262340,3259770,3289875,3330740,3270617,3334259,3347199,3355024,3363295,3370934,3314830,3428011,3428424,3393553,3478813,3484532,3339077,,
Permanent cropland (% of land area),,0.174825175,0.174825175,0.174825175,0.174825175,0.174825175,0.174825175,0.181818182,0.181818182,0.181818182,0.188811189,0.188811189,0.188811189,0.195804196,0.195804196,0.195804196,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.202797203,0.265034965,0.327272727,0.38951049,0.451748252,0.513986014,0.576223776,0.638461538,0.700699301,0.761074294,0.823160098,0.837111964,0.871991629,0.906871294,0.927799093,0.941750959,0.941750959,0.976630624,1.025462156,1.060341821,1.176142309,1.45099407,1.481897454,,
